aan|"<div class=""article""><div class=""k"">aan</div>aan<br/> * op of om je lichaam<br/>vb:ik heb een trui aan<br/>tegenstelling: uit<br/> * het is in werking<br/>vb:de radio staat aan<br/>tegenstelling: uit<br/> * aan elkaar vast<br/>vb:de kar zit aan de auto<br/><br/> * ZVV is aan de bal<br/> [de spelers van ZVV hebben de bal]<br/> * ik vind er niets aan<br/> [ik vind het niet leuk]<br/><br/> * om aan te geven wie iets krijgt<br/>vb:Bas geeft de pen aan oma<br/><br/> * hij is er slecht aan toe<br/> [het gaat slecht met hem]<br/> * wie is aan de beurt?<br/> [wie is de volgende klant?]<br/> * hoe kom je aan die hoed?<br/> [hoe heb je die hoed gekregen?]<br/> * ik kan er niets aan doen<br/> [ik kan het niet helpen, het is mijn schuld niet]<br/> * ik vind er niets aan<br/> [ik vind het helemaal niet leuk]</div>"
aanbieden|"<div class=""article""><div class=""k"">aanbieden</div>aanbieden<br/> * laten weten dat hij iets kan krijgen<br/>vb:wij willen u een baan aanbieden<br/>synoniem: presenteren</div>"
aanbieding|"<div class=""article""><div class=""k"">aanbieding</div>aanbieding<br/> * een artikel dat tijdelijk goedkoper is<br/>vb:de aardappels zijn in de aanbieding<br/>synoniem: koopje</div>"
aanbranden|"<div class=""article""><div class=""k"">aanbranden</div>aanbranden<br/> * het gaat aan de bodem van de pan vastzitten en het wordt zwart<br/>vb:het eten mag niet aanbranden!<br/><br/> * gauw aangebrand zijn<br/> [snel beledigd zijn]</div>"
aandacht|"<div class=""article""><div class=""k"">aandacht</div>aandacht<br/> * het opletten, niet aan andere dingen denken<br/>vb:wilt u even luisteren, mag ik even uw aandacht?<br/><br/> * er aandacht aan schenken<br/> [er bewust mee bezig zijn]<br/> * de aandacht trekken<br/> [zorgen dat ze je zien]<br/> * iets onder de aandacht brengen<br/> [zorgen dat mensen ernaar kijken of luisteren]<br/><br/>synoniem: attentie</div>"
aandoen|"<div class=""article""><div class=""k"">aandoen</div>aandoen<br/> * een kledingstuk om je heen doen<br/>vb:het is koud buiten, je moet een jas aandoen<br/>synoniem: aantrekken<br/>tegenstellingen: uitdoen uittrekken<br/> * ervoor zorgen dat iemand iets ergs meemaakt<br/>vb:die schande kun je me niet aandoen!<br/><br/> * iemand een proces aandoen<br/> [ervoor zorgen dat iemand voor de rechter moet verschijnen]<br/><br/> * laten werken<br/>vb:wil je het licht aandoen?<br/> * een goede of slechte indruk maken<br/>vb:dat hij zo beleefd is, doet plezierig aan</div>"
aandrijven|"<div class=""article""><div class=""k"">aandrijven</div>aandrijven<br/> * in beweging brengen<br/>vb:de machine wordt aangedreven door een motor</div>"
aangaande|"<div class=""article""><div class=""k"">aangaande</div>aangaande<br/> * om aan te geven wat het onderwerp is<br/>vb:aangaande het feest kunnen wij u nog niets melden<br/>synoniemen: betreffende inzake omtrent over van</div>"
aangeven|"<div class=""article""><div class=""k"">aangeven</div>aangeven<br/> * het hem in handen geven<br/>vb:wil je de suiker even aangeven?<br/>synoniemen: overhandigen aanreiken<br/> * iets laten weten<br/>vb:hij gaf aan dat hij weg wilde<br/> * je officieel ergens melden<br/>vb:de dief gaf zich aan bij de politie</div>"
aangezien|"<div class=""article""><div class=""k"">aangezien</div>aangezien<br/> * het woord noemt een reden<br/>vb:aangezien ik moe ben, ga ik nu slapen<br/>synoniemen: daar omdat</div>"
aanhouden|"<div class=""article""><div class=""k"">aanhouden</div>aanhouden<br/> * iemand tegenhouden<br/>vb:ik hield een agent aan om de weg te vragen<br/><br/> * aangehouden worden door de politie<br/> [gearresteerd worden]<br/><br/> * niet ophouden<br/>vb:hij hield maar aan met zijn gezeur<br/> * om of op je lijf houden<br/>vb:Viktor hield het smerige shirt aan</div>"
aankijken|"<div class=""article""><div class=""k"">aankijken</div>aankijken<br/> * in de ogen zien<br/>vb:je moet me aankijken als ik tegen je praat<br/><br/> * hij keek me met grote ogen aan<br/> [hij keek me verbaasd aan]<br/><br/> * nog niet meteen iets doen<br/>vb:we zullen het nog even aankijken, misschien wordt het weer straks<br/>beter</div>"
aankleden|"<div class=""article""><div class=""k"">aankleden</div>aankleden<br/> * kleren aan het lijf doen<br/>vb:wanneer kleden jullie je aan?<br/>synoniem: kleden<br/> * iets versieren, gezelliger maken<br/>vb:zullen we de zaal een beetje aankleden?</div>"
aankomen|"<div class=""article""><div class=""k"">aankomen</div>aankomen<br/> * dikker worden<br/>vb:ik ben 1 kilo aangekomen<br/> * pijn doen<br/>vb:die klap kwam hard aan<br/> * even vastpakken, tegen iets of iemand aankomen<br/>vb:mijn arm doet pijn, je mag daar niet aankomen<br/>synoniemen: aanraken raken<br/>tegenstelling: missen<br/> * na een reis ergens komen<br/>vb:de trein komt om drie uur aan<br/><br/> * ik heb het zien aankomen<br/> [ik verwachtte dat het zou gebeuren]<br/><br/>synoniem: arriveren<br/>tegenstellingen: weggaan vertrekken<br/> * even vastpakken, ergens met de handen aan zitten.<br/>vb:je mag niet aan mijn zere arm komen!<br/><br/> * nu komt het erop aan<br/> [nu valt de beslissing]</div>"
