aaien|aaien: stroke, fondle, caress, chuck
aaien, aanhalen, strelen, liefkozen|aaien, aanhalen, strelen, liefkozen: chuck
aak|aak: Rhine-barge<br/><br/>barge, maple, Rhine-barge
aakschipper|aakschipper: barge-master
aal|aal: elver, eel, muck-water<br/><br/>elver
aal, paling|aal, paling: eel
aalbes|aalbes: currant, currant-bush
aalbes, bes|aalbes, bes: currant
aalbesseblad|aalbesseblad: currant-leaf
aalbesseboompje|aalbesseboompje: currant-bush
aalbesseboompje, aalbes|aalbesseboompje, aalbes: currant-bush
aalbessenjam|aalbessenjam: currant-jam
aalduiker|aalduiker: grebe
aalfuik|aalfuik: eel-trap
aalmoes|aalmoes: alms
aalmoezenier|aalmoezenier: padre, chaplain
aalmoezenier, veldprediker|aalmoezenier, veldprediker: chaplain
aalmoezeniershuis|aalmoezeniershuis: workhouse, almshouse
aalmoezeniershuis, armhuis|aalmoezeniershuis, armhuis: workhouse
aalscholver|aalscholver: cormorant
Aalst|Aalst: Alost
aalsvel|aalsvel: eel-skin
aalt|aalt: muck-water
aalt, gier, aal|aalt, gier, aal: muck-water
aaltje|aaltje: eelworm
aalwaardig|aalwaardig: morose, sullen, fretful, straightforward, simple
aalwaardig, aalwarig, eenvoudig|aalwaardig, aalwarig, eenvoudig: straightforward
aalwaardig, gemelijk, aalwarig|aalwaardig, gemelijk, aalwarig: sullen
aalwarig|aalwarig: fretful, morose, sullen, straightforward, simple
aalwarig, aalwaardig, gemelijk|aalwarig, aalwaardig, gemelijk: fretful
aalwarig, gemelijk, aalwaardig|aalwarig, gemelijk, aalwaardig: morose
aambeeld|aambeeld: anvil
aambeeld, aanbeeld|aambeeld, aanbeeld: anvil
aambei|aambei: haemorrhoid<br/><br/>hemorrhoid, haemorrhoid<br/><br/>hemorrhoid
aambeien|aambeien: haemorhoids
aamborstig|aamborstig: wheezy, asthmatic
aamborstig, kortademig, astmatisch|aamborstig, kortademig, astmatisch: wheezy
aamborstigheid|aamborstigheid: asthma
aan|aan: to, upon, towards, toward, beside, by, at
aan boord|aan boord: aboard
aan boord gaan|aan boord gaan: embark
aan boord gaan, scheep gaan|aan boord gaan, scheep gaan: embark
aan de|aan de: the
aan de grond lopen|aan de grond lopen: strand
aan de grond lopen, stranden|aan de grond lopen, stranden: strand
aan de grond raken|aan de grond raken: sink
aan de hand zijn|aan de hand zijn: occur
aan de overkant van|aan de overkant van: across, opposite
aan de rol zijn|aan de rol zijn: debauch
aan de scharrel zijn|aan de scharrel zijn: flit, flirt, flutter
aan de scharrel zijn, fladderen|aan de scharrel zijn, fladderen: flirt<br/><br/>flutter
aan de schouder brengen|aan de schouder brengen: level
aan de, het, aan het, de, naar de|aan de, het, aan het, de, naar de: the
aan elkaar vastmaken|aan elkaar vastmaken: connect
aan flarden gescheurd|aan flarden gescheurd: tattered
aan het|aan het: the
aan het einde|aan het einde: behind
aan het einde, achteraan|aan het einde, achteraan: behind
aan hun|aan hun: them
aan je|aan je: you
aan jou|aan jou: you
aan komen lopen|aan komen lopen: tackle
aan land gaan|aan land gaan: land
aan land gaan, landen|aan land gaan, landen: land
aan ons|aan ons: us
aan ons, ons|aan ons, ons: us
aan ze|aan ze: them
aan ze, ze, hun, aan hun|aan ze, ze, hun, aan hun: them
aan, nabij, bij, dichtbij, naast|aan, nabij, bij, dichtbij, naast: beside
aan, nabij, naast, bij, dichtbij|aan, nabij, naast, bij, dichtbij: by
aan, nabij, naast, dichtbij, bij|aan, nabij, naast, dichtbij, bij: at
aan, op|aan, op: upon
aanaarden|aanaarden: earth<br/><br/>hill, earth<br/><br/>hill
aanbeeld|aanbeeld: anvil
aanbesteding|aanbesteding: tender
aanbevelen|aanbevelen: recommend
aanbevelen, aanprijzen, recommanderen|aanbevelen, aanprijzen, recommanderen: recommend
aanbevelenswaardig|aanbevelenswaardig: recommendable
aanbevelenswaardig, raadzaam|aanbevelenswaardig, raadzaam: recommendable
aanbeveling|aanbeveling: recommendation
aanbevolen|aanbevolen: recommended
aanbiddelijk|aanbiddelijk: adorable
aanbiddelijk, aanbiddenswaardig|aanbiddelijk, aanbiddenswaardig: adorable
aanbidden|aanbidden: adore
aanbiddenswaardig|aanbiddenswaardig: adorable
aanbidding|aanbidding: adoration, worship
aanbidding, adoratie|aanbidding, adoratie: adoration
aanbidster|aanbidster: adorer, worshipper
aanbidster, vereerster|aanbidster, vereerster: worshipper
aanbieden|aanbieden: bid, sacrifice, propose
aanbieding|aanbieding: presentation, suggestion
aanbieding, presentatie, optreden|aanbieding, presentatie, optreden: presentation
aanbinden|aanbinden: commence, moor, begin<br/><br/>moor
aanbinden, beginnen, aanvangen|aanbinden, beginnen, aanvangen: commence
aanblik|aanblik: aspect, exterior
aanblik, aanschijn, buitenkant|aanblik, aanschijn, buitenkant: exterior
aanbod|aanbod: suggestion
aanboren|aanboren: bore<br/><br/>broach<br/><br/>tap, bore, broach<br/><br/>tap
aanbouw|aanbouw: building
aanbranden|aanbranden: burn
aanbreken van de dag|aanbreken van de dag: daybreak
aanbrengen|aanbrengen: denounce
aandacht|aandacht: attention
aandachtig|aandachtig: attentive, attentively
aandachtig, attent, oplettend|aandachtig, attent, oplettend: attentive
aandachtig, met aandacht, attent|aandachtig, met aandacht, attent: attentively
aandeel|aandeel: share
aandeelhouder|aandeelhouder: shareholder
aandeelhouderschap|aandeelhouderschap: shareholdership
aandelenkapitaal|aandelenkapitaal: share-capital
aandenken|aandenken: keepsake, memento, souvenir
aandenken, gedenkschrift|aandenken, gedenkschrift: keepsake<br/><br/>memento<br/><br/>souvenir
aandienen|aandienen: advertise, announce
aandienen, aankondigen, adverteren|aandienen, aankondigen, adverteren: announce
aandikken|aandikken: heighten, thicken
aandoen|aandoen: affect
aandoen, aangrijpen|aandoen, aangrijpen: affect
aandoening|aandoening: emotion, disease, illness, affection
aandoenlijk|aandoenlijk: moving
aandoenlijk, roerend, ontroerend|aandoenlijk, roerend, ontroerend: moving
aandragen|aandragen: bring, fetch
aandrang|aandrang: insistence, crush, impulse, urgency, congestion<br/><br/>insistence<br/><br/>urgency
aandrift|aandrift: instinct, impulse
aandrift, drang, impuls, aandrang|aandrift, drang, impuls, aandrang: impulse
aandrijven|aandrijven: shoo
aandrijven, drijven, opjagen|aandrijven, drijven, opjagen: shoo
aandringen|aandringen: insist
aanduiden|aanduiden: suggest, indicate
aandurven|aandurven: venture
aanduwen|aanduwen: push
aaneen|aaneen: fellow, co-
aaneen, co-, samen-, aaneen-, samen|aaneen, co-, samen-, aaneen-, samen: fellow
aaneen-|aaneen-: fellow, co-
aaneenvoegen|aaneenvoegen: unite
aanflitsen|aanflitsen: catch
aanfloepen|aanfloepen: catch
aanfloepen, aanflitsen, aangaan|aanfloepen, aanflitsen, aangaan: catch
aanfluiting|aanfluiting: mockery
aangaan|aangaan: form, shape, catch
aangaande|aangaande: concerning
aangapen|aangapen: gawk
aangapen, dom kijken, gapen|aangapen, dom kijken, gapen: gawk
aangeboren|aangeboren: congentital, inbred, inborn, native, congenital<br/><br/>congentital
aangeboren, ingeboren|aangeboren, ingeboren: congenital<br/><br/>inborn
aangebrand|aangebrand: burnt
aangedaan|aangedaan: affected
aangedaan, aangegrepen|aangedaan, aangegrepen: affected
aangegrepen|aangegrepen: affected
aangeklaagde|aangeklaagde: accused, defendant
aangeklaagde, beklaagde, beschuldigde|aangeklaagde, beklaagde, beschuldigde: defendant
aangeleerd|aangeleerd: acquired, learnt<br/><br/>acquired<br/><br/>learnt
aangelegenheid|aangelegenheid: matter, affair, business, case, concern
aangelegenheid, belang|aangelegenheid, belang: concern
aangelegenheid, ding, affaire, zaak|aangelegenheid, ding, affaire, zaak: matter
aangelegenheid, zaak, affaire, ding|aangelegenheid, zaak, affaire, ding: business
aangenaam|aangenaam: comfortably<br/><br/>pleasant, comfortably, nice, agreeable, enjoyable
aangenaam, behaaglijk, genoeglijk|aangenaam, behaaglijk, genoeglijk: agreeable
aangenomen|aangenomen: adopted, job-<br/><br/>job-
aangenomen, geadopteerd|aangenomen, geadopteerd: adopted
aangepast|aangepast: adapted
aangeschoten|aangeschoten: tipsy, winged, wounded<br/><br/>winged<br/><br/>wounded
aangeschoten, roezig|aangeschoten, roezig: tipsy
aangespen|aangespen: gird
aangestoken|aangestoken: worm-eaten, unsound
aangeven|aangeven: denounce, suggest, register, convey, indicate<br/><br/>register
aangeven, aanbrengen, klikken|aangeven, aanbrengen, klikken: denounce
aangeven, aanwijzen, aanduiden|aangeven, aanwijzen, aanduiden: indicate
aangezichtspijn|aangezichtspijn: face-ache
aangezien|aangezien: because
aangifte|aangifte: statement
aangorden|aangorden: gird
aangrenzend|aangrenzend: adjacent, neighbouring
aangrenzend, aanliggend|aangrenzend, aanliggend: adjacent
aangrijpen|aangrijpen: grab, stir, seize, attack, grasp, affect, move
aangrijpen, aantasten, aanvallen|aangrijpen, aantasten, aanvallen: attack
aangrijpen, ontroeren, bewegen|aangrijpen, ontroeren, bewegen: stir
aangrijpend|aangrijpend: touching
aanhalen|aanhalen: chuck, caress, fondle, quote, cite, stroke
aanhalen, citeren, noemen|aanhalen, citeren, noemen: quote
aanhalen, liefkozen, strelen, aaien|aanhalen, liefkozen, strelen, aaien: caress
aanhalen, strelen, liefkozen, aaien|aanhalen, strelen, liefkozen, aaien: stroke
aanhalig|aanhalig: affectionate, cuddlesome, caressing, cuddly<br/><br/>affectionate<br/><br/>caressing<br/><br/>cuddlesome<br/><br/>cuddly
aanhaling|aanhaling: quotation
aanhaling, citaat|aanhaling, citaat: quotation
aanhalingstekens|aanhalingstekens: quotes
aanhang|aanhang: party, adherents, followers, supporters, disciples
aanhang, leden|aanhang, leden: adherents
aanhangen|aanhangen: stick
aanhanger|aanhanger: supporter, adept, member
aanhanger van een rechtse parti|aanhanger van een rechtse parti: right-hander
aanhanger van een rechtse partiright-hander|aanhanger van een rechtse partiright-hander: right-hander
