"-ban gondolkodik (vmilyen kategóriában)","-ban gondolkodik (vmilyen kategóriában)thinks in terms of sg"
"-i :marxi közgazdaságtan","-i :marxi közgazdaságtanMarxian economics"
"-i :shakespeare-i motívum","-i :shakespeare-i motívumShakespearean motif"
"-kori :Erzsébet-kori sajtó","-kori :Erzsébet-kori sajtóthe Elizabethan press"
"-nál :Marxnál (Marx műveiben)","-nál :Marxnál (Marx műveiben)in Marx"
"-szorra :másodszorra jobb","-szorra :másodszorra jobbis better the second time around"
"-én :február 11-12-én","-én :február 11-12-énon February 11th-12th"
"... alatt ... értendő","... alatt ... értendőby ... is to be understood a ..."
"... alatt a ...-t értjük","... alatt a ...-t értjükby the ... ... is meant"
"... alatt e tanulmányban a ...-t értjük","... alatt e tanulmányban a ...-t értjük... for the purposes of this survey is taken to mean the ..."
"... eljárással","... eljárássalemploying a ... process"
"... ezt a következőképpen fejezte ki: ...","... ezt a következőképpen fejezte ki: ...... put it this way:""..."""
"... keleti és nyugati módra.","... keleti és nyugati módra.decision making - eastern and western style."
"... kifejezésével élve: ...","... kifejezésével élve: ...- in Jefferson's phrase - ..."
"... lap terjedelmű","... lap terjedelműis 600 pages in length"
"... nyomán feltételezzük, hogy ...","... nyomán feltételezzük, hogy ...Following Morse the library is assumed to be a system of ..."
"... révén ismerkedett meg vele (ismerős útján)","... révén ismerkedett meg vele (ismerős útján)became acquainted with Picasso therough Apollinaire"
"... értelemben használom","... értelemben használomI shall use the term""..."" to refer to ..."
"... és ... között váltakoznak","... és ... között váltakoznakvary between ... and ..."
"... és munkatársai","... és munkatársaiOrr and his associates"
"... és változatai (továbbfejlesztései?)","... és változatai (továbbfejlesztései?)UNIX and its derivatives"
"..., ahogy a ... is","..., ahogy a ... isThe ... were unaffected, as were the ..."
"...-ban gondolkozik (a fogalmaiban; népben-nemzetben stb.)","...-ban gondolkozik (a fogalmaiban; népben-nemzetben stb.)thinks in terms of ... <br/><br/>thinks in terms of uses per unit of shelf space when ..."
"...-hoz viszonyított %-os emelkedés","...-hoz viszonyított %-os emelkedéspercentage increases on 1976"
"...-ként minősített","...-ként minősítettclassified as ..."
"...-ként vált ismeretessé","...-ként vált ismeretessébecame known as the ..."
"...-nak a ...-k köszönetüket fejezik ki","...-nak a ...-k köszönetüket fejezik kiTo ... the sponsors express their thanks."
"...-nak felel meg (mennyiség)","...-nak felel meg (mennyiség)5 kilohertz equals 5,000 Hertz"
"...-val vagy anélkül","...-val vagy anélkülwith or without ..."
"1. r. (1. rész)","1. r. (1. rész)Pt. 1"
