"-ban gondolkodik (vmilyen kategóriában)"|"<div class=""article""><div class=""k"">-ban gondolkodik (vmilyen kategóriában)</div>thinks in terms of sg </div>"
"-i :marxi közgazdaságtan"|"<div class=""article""><div class=""k"">-i :marxi közgazdaságtan</div>Marxian economics </div>"
"-i :shakespeare-i motívum"|"<div class=""article""><div class=""k"">-i :shakespeare-i motívum</div>Shakespearean motif </div>"
"-kori :Erzsébet-kori sajtó"|"<div class=""article""><div class=""k"">-kori :Erzsébet-kori sajtó</div>the Elizabethan press </div>"
"-nál :Marxnál (Marx műveiben)"|"<div class=""article""><div class=""k"">-nál :Marxnál (Marx műveiben)</div>in Marx </div>"
"-szorra :másodszorra jobb"|"<div class=""article""><div class=""k"">-szorra :másodszorra jobb</div>is better the second time around </div>"
"-én :február 11-12-én"|"<div class=""article""><div class=""k"">-én :február 11-12-én</div>on February 11th-12th </div>"
"... alatt ... értendő"|"<div class=""article""><div class=""k"">... alatt ... értendő</div>by ... is to be understood a ... </div>"
"... alatt a ...-t értjük"|"<div class=""article""><div class=""k"">... alatt a ...-t értjük</div>by the ... ... is meant </div>"
"... alatt e tanulmányban a ...-t értjük"|"<div class=""article""><div class=""k"">... alatt e tanulmányban a ...-t értjük</div>... for the purposes of this survey is taken to mean the ... </div>"
"... eljárással"|"<div class=""article""><div class=""k"">... eljárással</div>employing a ... process </div>"
"... ezt a következőképpen fejezte ki: ..."|"<div class=""article""><div class=""k"">... ezt a következőképpen fejezte ki: ...</div>... put it this way: ""..."" </div>"
"... keleti és nyugati módra."|"<div class=""article""><div class=""k"">... keleti és nyugati módra.</div>decision making - eastern and western style. </div>"
"... kifejezésével élve: ..."|"<div class=""article""><div class=""k"">... kifejezésével élve: ...</div>- in Jefferson's phrase - ... </div>"
"... lap terjedelmű"|"<div class=""article""><div class=""k"">... lap terjedelmű</div>is 600 pages in length </div>"
"... nyomán feltételezzük, hogy ..."|"<div class=""article""><div class=""k"">... nyomán feltételezzük, hogy ...</div>Following Morse the library is assumed to be a system of ... </div>"
"... révén ismerkedett meg vele (ismerős útján)"|"<div class=""article""><div class=""k"">... révén ismerkedett meg vele (ismerős útján)</div>became acquainted with Picasso therough Apollinaire </div>"
"... értelemben használom"|"<div class=""article""><div class=""k"">... értelemben használom</div>I shall use the term ""..."" to refer to ... </div>"
"... és ... között váltakoznak"|"<div class=""article""><div class=""k"">... és ... között váltakoznak</div>vary between ... and ... </div>"
"... és munkatársai"|"<div class=""article""><div class=""k"">... és munkatársai</div>Orr and his associates </div>"
"... és változatai (továbbfejlesztései?)"|"<div class=""article""><div class=""k"">... és változatai (továbbfejlesztései?)</div>UNIX and its derivatives </div>"
"..., ahogy a ... is"|"<div class=""article""><div class=""k"">..., ahogy a ... is</div>The ... were unaffected, as were the ... </div>"
"...-ban gondolkozik (a fogalmaiban; népben-nemzetben stb.)"|"<div class=""article""><div class=""k"">...-ban gondolkozik (a fogalmaiban; népben-nemzetben stb.)</div>thinks in terms of ... <br/><br/>thinks in terms of uses per unit of shelf space when ... </div>"
"...-hoz viszonyított %-os emelkedés"|"<div class=""article""><div class=""k"">...-hoz viszonyított %-os emelkedés</div>percentage increases on 1976 </div>"
"...-ként minősített"|"<div class=""article""><div class=""k"">...-ként minősített</div>classified as ... </div>"
"...-ként vált ismeretessé"|"<div class=""article""><div class=""k"">...-ként vált ismeretessé</div>became known as the ... </div>"
"...-nak a ...-k köszönetüket fejezik ki"|"<div class=""article""><div class=""k"">...-nak a ...-k köszönetüket fejezik ki</div>To ... the sponsors express their thanks. </div>"
"...-nak felel meg (mennyiség)"|"<div class=""article""><div class=""k"">...-nak felel meg (mennyiség)</div>5 kilohertz equals 5,000 Hertz </div>"
"...-val vagy anélkül"|"<div class=""article""><div class=""k"">...-val vagy anélkül</div>with or without ... </div>"
"1. r. (1. rész)"|"<div class=""article""><div class=""k"">1. r. (1. rész)</div>Pt. 1 </div>"
"100 férőhelyes"|"<div class=""article""><div class=""k"">100 férőhelyes</div>with a seating capacity of 100 </div>"
"100 éves múltra tekint vissza (intézmény)"|"<div class=""article""><div class=""k"">100 éves múltra tekint vissza (intézmény)</div>dates back 100 years </div>"
"14 %-os növekedést jelent a ...-hoz képest"|"<div class=""article""><div class=""k"">14 %-os növekedést jelent a ...-hoz képest</div>represents a 14 percent increase over the $30.37 price of last year </div>"
"1979. jan. végén (táblázat fejléce)"|"<div class=""article""><div class=""k"">1979. jan. végén (táblázat fejléce)</div>End-Jan 1987 </div>"
"1988. szeptember 1-i tárcámban"|"<div class=""article""><div class=""k"">1988. szeptember 1-i tárcámban</div>in my September 1, 1988 column </div>"
"24. és a következő oldalak"|"<div class=""article""><div class=""k"">24. és a következő oldalak</div>24 et seq. </div>"
"30 amperes (?)"|"<div class=""article""><div class=""k"">30 amperes (?)</div>thirty amps </div>"
"50 %-os az esélye, hogy ..."|"<div class=""article""><div class=""k"">50 %-os az esélye, hogy ...</div>has a fifty-fifty chance to (do) </div>"
"517 skv. (s következő oldalak)"|"<div class=""article""><div class=""k"">517 skv. (s következő oldalak)</div>517 et seq. </div>"
"a ..-tól kapott céltámogatás segítségével"|"<div class=""article""><div class=""k"">a ..-tól kapott céltámogatás segítségével</div>was developed under a grant from ... </div>"
"a ... - mint bármely más - ..."|"<div class=""article""><div class=""k"">a ... - mint bármely más - ...</div>the ..., like any other, ... </div>"
"a ... a ... dolga"|"<div class=""article""><div class=""k"">a ... a ... dolga</div>the ... is a matter for the ... </div>"
"a ... a ... nyelvére fordítva ...-t jelent (átv.)"|"<div class=""article""><div class=""k"">a ... a ... nyelvére fordítva ...-t jelent (átv.)</div>... is translated into ... </div>"
"a ... a ...-val magyarázható"|"<div class=""article""><div class=""k"">a ... a ...-val magyarázható</div>the ... is accounted for by the ... </div>"
"a ... aktuális kérdései"|"<div class=""article""><div class=""k"">a ... aktuális kérdései</div>present-day issues in ... </div>"
"a ... az olvasó életkorával magyarázható"|"<div class=""article""><div class=""k"">a ... az olvasó életkorával magyarázható</div>the age of the reader is responsible for the ... </div>"
"a ... beleintegrálása a ...-ba"|"<div class=""article""><div class=""k"">a ... beleintegrálása a ...-ba</div>the integration of ... into the ... </div>"
"a ... bemeneteinek jelölése"|"<div class=""article""><div class=""k"">a ... bemeneteinek jelölése</div>names of the inputs of the ... </div>"
"a ... csökkenő sorrendjében"|"<div class=""article""><div class=""k"">a ... csökkenő sorrendjében</div>in descending order according to the percentage of ... </div>"
"a ... céljaitól vezérelve"|"<div class=""article""><div class=""k"">a ... céljaitól vezérelve</div>guided by the purposes and principles of the ... </div>"
"a ... egyik módja a ...-nak"|"<div class=""article""><div class=""k"">a ... egyik módja a ...-nak</div>production is one mode of acquisition </div>"
"a ... elméleti és gyakorlati problémái (cím)"|"<div class=""article""><div class=""k"">a ... elméleti és gyakorlati problémái (cím)</div>the theoretical and practical problems of ... </div>"
"a ... elvei (cím)"|"<div class=""article""><div class=""k"">a ... elvei (cím)</div>Principles in ... </div>"
"A ... elvei és gyakorlata. (cím)"|"<div class=""article""><div class=""k"">A ... elvei és gyakorlata. (cím)</div>...: policy and practice </div>"
"a ... előírásai szerint kell megadni (adatot)"|"<div class=""article""><div class=""k"">a ... előírásai szerint kell megadni (adatot)</div>is given according to the provisions of 2.3.1 </div>"
"a ... engedélyével (illusztráció, szakkönyvben)"|"<div class=""article""><div class=""k"">a ... engedélyével (illusztráció, szakkönyvben)</div>(Courtesy ... Museum) </div>"
"a ... esetében (területén)"|"<div class=""article""><div class=""k"">a ... esetében (területén)</div>with ephemera </div>"
"a ... esetében ez különösen így van"|"<div class=""article""><div class=""k"">a ... esetében ez különösen így van</div>this is especially true for ... </div>"
"a ... fejlődési irányai"|"<div class=""article""><div class=""k"">a ... fejlődési irányai</div>current trends in ... </div>"
"a ... fejlődési irányai (cím)"|"<div class=""article""><div class=""k"">a ... fejlődési irányai (cím)</div>Directions in library networking. </div>"
"a ... felhasználása az oktatásban"|"<div class=""article""><div class=""k"">a ... felhasználása az oktatásban</div>the educational use of ... </div>"
"a ... feltétel teljesül"|"<div class=""article""><div class=""k"">a ... feltétel teljesül</div>the ... condition is met </div>"
"a ... formájában"|"<div class=""article""><div class=""k"">a ... formájában</div>in the form of ... </div>"
"a ... fényében"|"<div class=""article""><div class=""k"">a ... fényében</div>in light of the ... </div>"
"a ... függelék tartalmazza"|"<div class=""article""><div class=""k"">a ... függelék tartalmazza</div>the questionnaire is reproduced in Appendix 2. </div>"
"a ... függvénye (átv.)"|"<div class=""article""><div class=""k"">a ... függvénye (átv.)</div>the variations in price are a factor of size </div>"
"a ... gyakorlati problémái"|"<div class=""article""><div class=""k"">a ... gyakorlati problémái</div>practical problems in ... </div>"
"a ... gyakorlati szempontból (cím)"|"<div class=""article""><div class=""k"">a ... gyakorlati szempontból (cím)</div>...: a practical view </div>"
"a ... használata révén"|"<div class=""article""><div class=""k"">a ... használata révén</div>through the use of ... </div>"
"a ... helyzete a ...-hoz képest"|"<div class=""article""><div class=""k"">a ... helyzete a ...-hoz képest</div>the position of the screen relative to the head </div>"
"a ... háttere"|"<div class=""article""><div class=""k"">a ... háttere</div>background for ... <br/><br/>background to ... </div>"
"a ... irodalma (szakirodalom)"|"<div class=""article""><div class=""k"">a ... irodalma (szakirodalom)</div>the literature of ... </div>"
"a ... javaslatára"|"<div class=""article""><div class=""k"">a ... javaslatára</div>at the observer's suggestion she tried to ... </div>"
"a ... jelenlegi helyzete"|"<div class=""article""><div class=""k"">a ... jelenlegi helyzete</div>the current state of ... </div>"
"a ... keretében"|"<div class=""article""><div class=""k"">a ... keretében</div>the branch libraries under a campus-wide circulation system </div>"
"a ... kezdetei (cím)"|"<div class=""article""><div class=""k"">a ... kezdetei (cím)</div>the origins of ... </div>"
"a ... kifejezést itt a legszélesebb értelemben használjuk"|"<div class=""article""><div class=""k"">a ... kifejezést itt a legszélesebb értelemben használjuk</div>""..."" is here used in the broadest sense and refers to ... </div>"
"a ... kivételével"|"<div class=""article""><div class=""k"">a ... kivételével</div>all the plant groups except the ... <br/><br/>save that ... <br/><br/>with the exception of ... <br/><br/>with the exclusion of ... </div>"
"a ... konferencián tartott előadás"|"<div class=""article""><div class=""k"">a ... konferencián tartott előadás</div>paper given to the ... conference </div>"
"a ... korlátai"|"<div class=""article""><div class=""k"">a ... korlátai</div>the limits of computer-aided instruction </div>"
"a ... kritériumai"|"<div class=""article""><div class=""k"">a ... kritériumai</div>criteria for ... </div>"
"a ... kulcsa"|"<div class=""article""><div class=""k"">a ... kulcsa</div>the key to administration </div>"
"a ... kérdése vitatéma maradt"|"<div class=""article""><div class=""k"">a ... kérdése vitatéma maradt</div>the question of ... remained a matter of discussion </div>"
"A ... kérdéséhez. (cím)"|"<div class=""article""><div class=""k"">A ... kérdéséhez. (cím)</div>A note on ... </div>"
