"#name"|"Korean Law Dic"
"#version"|"2.4.2"
"#wordcount"|"3225"
"#idxfilesize"|"167129"
"#date"|"2007.4.22"
"#description"|"Made by Hu Zheng. Convert from kdic."
"#sametypesequence"|"m"
"刑의 면제  [독] Strafaufhebung"|"[형의 면제]는 범죄 그 자체는 성립하였지만 일정한 사유로 형벌을 면제하는 선고를 하는 경우를 말한다. 그러므로 실제에 있어서는 형의 면제도 재판에 의하여 선고되는 것이며, 또 그 재판의 성질은 [유죄판결]에 속하고 [무죄판결]과는 전혀 그 성질이 다른 것이다. 현행법상 [형의 면제]의 사유로서는 필요적 면제(법정면제)와 임의적 면제(재정면제)가 있으나, 모두 법률상의 면제에 한하고 재판상의 면제(작량면제)는 인정하지 않는다. 그리고 법률상 면제에도 일반적으로 각 범죄에 공통한 것, 즉 일반적 면제사유와 일정한 범죄에만 특수적인 것, 즉 특수적 면제사유가 있다. 특수적 면제사유는 친족간의 범행에서 형을 면제하는 경우로서 형법각칙에 개별적으로 규정하고 있다(형328①·344·361·365). 법률상 일반적 면제사유로서는 (1)외국에서 받은 형의 집행으로 인한 면제(형7) (2)중지범(형26) (3)불능범(형27단) (4)과잉방위(형21②) (5)과잉피난(형22③) (6)과잉자구행위(형23②) (7)자수 및 자복(형52①②) 등이 있는데 이 면제사유는 모두 감경과 택일적으로 규정되어 있고, 또 중지범만이 필요적 면제이고 그 이외에는 모두 임의적 면제이다. 주의하여야 할 것은 [형의 면제]와 [형의 집행면제]를 엄격하게 구별하지 않으면 안된다. 형의 집행면제는 예를 들면 형의 시효가 완성하였을 때(형77), 외국에서 확정판결을 받은 자가 동일한 행위에 관하여 처벌될 경우에 이미 외국에서 선고된 형의 전부 또는 일부의 집행을 받은 때(형7)에 행해지는 것으로서 형의 선고는 있으나 형의 집행만을 면제하는 것이다. 그러므로 형의 집행의 면제는 누범의 성립에 관하여는 역시 전과로서 취급된다."
"가격배상 價格賠償"|"넓은 뜻으로는 물건의 대가를 금전으로 환가하여 배상하는 것이지만 보통은 공유자의 1인이 공유물 전부를 취득하여 다른 공유자에게 각자의 지분에 따라서 그 가격을 배상하는 방법이다."
"가공 加工"|"타인의 재료에 공작을 가하여 새로운 물건을 제작하는 것을 말한다. 예컨대 A소유의 피혁을 B가 자기 것으로 잘못 알고 구두를 만들었다든가, C소유의 산림을 D가 도벌해서 제재하여 목재로 했다든가 하는 것과 같이 타인의 동산에 노력을 가하여 새로운 물건을 만들어 내는 것을 말한다. 첨부의 한 형태이다. 가공에 의하여 만들어진 물건은 원칙으로 재료의 소유자의 것이 되는데(민259①), 즉 구두는 A의 것으로, 재목은 C의 것으로 된다. 다만 예외로 E소유의 화지에 F화백이 그림을 그렸을 경우와 같이, 가공의 결과에서 생긴 물건의 값이 재료의 값보다 현저하게 비싼 경우에는 그 그림은 가공자의 소유로 된다(민259① 단). 가공된 물건의 소유권을 취득한 A·C 또는 F는 B·D 그리고 E에게 부당이익을 반환해야만 한다. 가공의 규정은 이상 열거한 것과 같이 계약관계가 없는 사람끼리만 적용되며, 사용인을 고용한다거나 위탁가공으로 내놓는다든가 하여 자기의 재료로 물건을 만들게 하는 경우에는 각기 계약내용에 따라서 소유권을 취득하게 된다."
"가등기 假登記 [독] Vormerkung"|"매매의 예약이라든가 또는 기한내에 차용금을 변제하지 않을 때는 대물변제로써 부동산에 대한 권리를 이전할 것을 약속하였을 때 또는 농지가 택지로 변경되면 매수하겠다는 계약을 하였을 때는 당연히 장래 소유권이전의 본등기를 할 것이 예상된다. 이 장래의 본등기에 대비하여 미리 등기부상의 순위를 보전하기 위하여 행하는 등기가 가등기(부등3)이다. 등기에는 순위가 중요하다. 무담보의 토지라는 것을 알고 매매예약을 하였을지라도 정식으로 매매가 성립하는 동안 누군가가 먼저 저당권의 등기를 필하면 당연히 그 등기를 필한 자의 권리가 우선한다. 그래서 가등기를 할 필요가 있는 것이다. 즉 가등기를 한 다음에 본등기를 하면 그 본등기의 순위가 가등기시에 소급하므로(부등6②), 가등기 후에 행한 모든 등기는 그 가등기와 상치되는 범위 내에서 효력을 상실한다."
