"#name"|"525777_600000.csv"
"어휘"|"구성 단위"|"고유어 여부"
"소형^기관차"|"어휘"|"한자어"
"소형 냉장고"|"어휘"|"한자어"
"소형^다목적^굴착기"|"어휘"|"한자어"
"소형^동력^운반차"|"어휘"|"한자어"
"소형^동물군"|"어휘"|"한자어"
"소형^동물상"|"어휘"|"한자어"
"소형^디스켓"|"어휘"|"혼종어"
"소형^디스크^기억^장치"|"어휘"|"혼종어"
"소형^면허"|"어휘"|"한자어"
"소-형명"|"어휘"|"한자어"
"소형-무"|"어휘"|"혼종어"
"소형^무인기"|"어휘"|"한자어"
"소형^무인^잠수정"|"어휘"|"한자어"
"소형^무인^지상^차량"|"어휘"|"한자어"
"소형^배우체"|"어휘"|"한자어"
"소형 병원"|"어휘"|"한자어"
"소형^분생^포자"|"어휘"|"한자어"
"소형^분양^아파트"|"어휘"|"혼종어"
"소형^브라우저"|"어휘"|"혼종어"
"소형-사"|"어휘"|"한자어"
"소형^사무^컴퓨터"|"어휘"|"혼종어"
"소형 삼각대"|"어휘"|"한자어"
"소형-선"|"어휘"|"한자어"
"소형^선박"|"어휘"|"한자어"
"소형^소화기"|"어휘"|"한자어"
"소형^손기구"|"어휘"|"혼종어"
"소형^슈퍼컴퓨터"|"어휘"|"혼종어"
"소형^승강^무대"|"어휘"|"한자어"
"소형 승용차"|"어휘"|"한자어"
"소형^시장"|"어휘"|"한자어"
"소형^식자^크기"|"어휘"|"혼종어"
"소형^아파트"|"어휘"|"혼종어"
"소형^압괴^사료"|"어휘"|"한자어"
"소형^업무용^컴퓨터"|"어휘"|"혼종어"
"소형-엽"|"어휘"|"한자어"
"소형^영화"|"어휘"|"한자어"
"소형^예인선"|"어휘"|"한자어"
"소형^자동차"|"어휘"|"한자어"
"소형^자동차"|"어휘"|"한자어"
"소형^자동^창고"|"어휘"|"한자어"
"소형^잠수정"|"어휘"|"한자어"
"소형^잠수함"|"어휘"|"한자어"
"소형^저장^탱크"|"어휘"|"혼종어"
"소형^전술^다중^무선^장비"|"어휘"|"한자어"
"소형^전화기"|"어휘"|"한자어"
"소형^제독기"|"어휘"|"한자어"
"소형-주"|"어휘"|"한자어"
"소형^주택"|"어휘"|"한자어"
"소형주^효과"|"어휘"|"한자어"
"소형^지상^식물"|"어휘"|"한자어"
"소형-차"|"어휘"|"한자어"
"소형-차"|"어휘"|"한자어"
"소형차-급"|"어휘"|"한자어"
"소형촌백충"|"어휘"|"한자어"
"소형^컨테이너"|"어휘"|"혼종어"
"소형^컴퓨터"|"어휘"|"혼종어"
"소형^컴퓨터"|"어휘"|"혼종어"
"소형^컴퓨터^시스템^인터페이스"|"어휘"|"혼종어"
"소형^콘덴서^마이크로폰"|"어휘"|"혼종어"
"소형^콤바인"|"어휘"|"혼종어"
"소형-탄"|"어휘"|"한자어"
"소형^태풍"|"어휘"|"한자어"
"소형^터널"|"어휘"|"혼종어"
"소형^트랙터"|"어휘"|"혼종어"
"소형^트랜스폰더"|"어휘"|"혼종어"
"소형^트럭"|"어휘"|"혼종어"
"소형^폭뢰"|"어휘"|"한자어"
"소형^폭파구"|"어휘"|"한자어"
"소형^필름"|"어휘"|"혼종어"
"소형^행성"|"어휘"|"한자어"
"소형-화"|"어휘"|"한자어"
"소형화-되다"|"어휘"|"혼종어"
"소형화-하다"|"어휘"|"혼종어"
"소혜"|"어휘"|"한자어"
"소혜^왕후"|"어휘"|"한자어"
"소호"|"어휘"|"한자어"
"소호"|"어휘"|"한자어"
"소호"|"어휘"|"한자어"
"소호"|"어휘"|"한자어"
"소호"|"어휘"|"한자어"
"소호"|"어휘"|"한자어"
"소호"|"어휘"|"한자어"
"소호"|"어휘"|"한자어"
"소호"|"어휘"|"한자어"
"소호"|"어휘"|"외래어"
"소호-각"|"어휘"|"한자어"
"소호-각"|"어휘"|"한자어"
"소호^금천씨"|"어휘"|"한자어"
"소호^리액터"|"어휘"|"혼종어"
"소호^리액터^접지^방식"|"어휘"|"혼종어"
"소호^리액턴스^접지^방식"|"어휘"|"혼종어"
"소호 몰"|"어휘"|"외래어"
"소호^장치"|"어휘"|"한자어"
"소호-족"|"어휘"|"혼종어"
"소호-좌"|"어휘"|"한자어"
"소-호지"|"어휘"|"한자어"
"소호^창업"|"어휘"|"혼종어"
"소호^코일"|"어휘"|"혼종어"
"소호^푸어"|"어휘"|"외래어"
"소호^퓨즈"|"어휘"|"혼종어"
"소호-하다"|"어휘"|"혼종어"
"소호-형"|"어휘"|"혼종어"
"소호형-뉴"|"어휘"|"한자어"
"소호형^불꽃^갭^변환기"|"어휘"|"혼종어"
"소호형^시료"|"어휘"|"한자어"
"소-혹성"|"어휘"|"한자어"
"소혼"|"어휘"|"한자어"
"소혼-단장"|"어휘"|"한자어"
"소혼단장-하다"|"어휘"|"혼종어"
"소-혼점"|"어휘"|"한자어"
"소혼-하다"|"어휘"|"혼종어"
"소홀"|"어휘"|"한자어"
"소홀-하다"|"어휘"|"혼종어"
"소홀-히"|"어휘"|"혼종어"
"소홈"|"어휘"|"고유어"
"소-홍"|"어휘"|"한자어"
"소-홍"|"어휘"|"고유어"
"소홍채^동맥륜"|"어휘"|"한자어"
"소화"|"어휘"|"한자어"
"소화"|"어휘"|"한자어"
"소화"|"어휘"|"한자어"
"소화"|"어휘"|"한자어"
"소화"|"어휘"|"한자어"
"소화"|"어휘"|"한자어"
"소화"|"어휘"|"한자어"
"소화"|"어휘"|"한자어"
"소화"|"어휘"|"한자어"
"소화"|"어휘"|"한자어"
"소화"|"어휘"|"한자어"
"소화"|"어휘"|"한자어"
"소화"|"어휘"|"한자어"
"소화"|"어휘"|"한자어"
"소화"|"어휘"|"한자어"
"소화"|"어휘"|"한자어"
"소화"|"어휘"|"한자어"
"소화"|"어휘"|"한자어"
"소화"|"어휘"|"한자어"
"소화"|"어휘"|"한자어"
"소화"|"어휘"|"한자어"
"소화"|"어휘"|"한자어"
"소화"|"어휘"|"한자어"
"소화^가스"|"어휘"|"혼종어"
"소화^가스^계량기"|"어휘"|"혼종어"
"소화^가스^발전"|"어휘"|"혼종어"
"소화-경"|"어휘"|"한자어"
"소화-경"|"어휘"|"한자어"
"소화-계"|"어휘"|"한자어"
"소화^계수"|"어휘"|"한자어"
"소화^계통"|"어휘"|"한자어"
"소화^공생"|"어휘"|"한자어"
"소화^과정"|"어휘"|"한자어"
"소화-관"|"어휘"|"한자어"
"소화-관"|"어휘"|"한자어"
"소화관^염증"|"어휘"|"한자어"
"소화관^접한^뼈"|"어휘"|"혼종어"
"소화관^펴^바른^표본"|"어휘"|"혼종어"
"소화관^호르몬"|"어휘"|"혼종어"
"소화^궤양"|"어휘"|"한자어"
"소-화기"|"어휘"|"한자어"
"소화-기"|"어휘"|"한자어"
"소화-기"|"어휘"|"한자어"
"소화기-계"|"어휘"|"한자어"
"소화기계^질환"|"어휘"|"한자어"
"소화기^계통"|"어휘"|"한자어"
"소화기-과"|"어휘"|"한자어"
"소화^기관"|"어휘"|"한자어"
"소화기-내과"|"어휘"|"한자어"
"소화기-도"|"어휘"|"한자어"
"소화기^목적군"|"어휘"|"한자어"
"소화기병학"|"어휘"|"한자어"
"소화기^뿌리기"|"어휘"|"혼종어"
"소화기성^진균^중독"|"어휘"|"한자어"
"소화기^장애"|"어휘"|"한자어"
"소화기^전염병"|"어휘"|"한자어"
"소화기^증상"|"어휘"|"한자어"
"소화기^탄약"|"어휘"|"한자어"
"소화-길"|"어휘"|"혼종어"
"소화^농도"|"어휘"|"한자어"
"소화^능력"|"어휘"|"한자어"
"소화^독성^물질"|"어휘"|"한자어"
"소화-되다"|"어휘"|"혼종어"
"소화-되다"|"어휘"|"혼종어"
"소화-되다"|"어휘"|"혼종어"
"소화-되다"|"어휘"|"혼종어"
"소화-되다"|"어휘"|"혼종어"
"소화-되다"|"어휘"|"혼종어"
"소화-되다"|"어휘"|"혼종어"
"소화-되다"|"어휘"|"혼종어"
"소화-되다"|"어휘"|"혼종어"
"소화^등급"|"어휘"|"한자어"
"소화-량"|"어휘"|"한자어"
"소화-력"|"어휘"|"한자어"
"소화-력"|"어휘"|"한자어"
"소화력^시험법"|"어휘"|"한자어"
"소-화물"|"어휘"|"한자어"
"소화물-계"|"어휘"|"한자어"
"소화물^운송"|"어휘"|"한자어"
"소화물^취급"|"어휘"|"한자어"
"소화^밀도"|"어휘"|"한자어"
